Feature,Importance
koi_prad,0.24436169126356128
koi_model_snr,0.18594208323567427
koi_period,0.11812119293338608
koi_duration,0.09770902841804877
koi_insol,0.0855013068001158
koi_teq,0.08356641460917955
koi_steff,0.0562733151117285
koi_srad,0.05061281990938944
koi_slogg,0.046675586553180916
koi_kepmag,0.03123656116573541
