Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7711748633879781,0.6153846153846154,0.6501128668171557,0.6322722283205269,0.8337331390682795
Random Forest,0.9050546448087432,0.820675105485232,0.8781038374717833,0.8484187568157033,0.9643391708655481
