rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_period_outlier,koi_duration_outlier,koi_depth_outlier,koi_prad_outlier,koi_teq_outlier,koi_insol_outlier,koi_model_snr_outlier,koi_steff_outlier,koi_slogg_outlier,koi_srad_outlier,koi_kepmag_outlier,outlier_flag,predicted_confirmed_probability,priority,catalog_fp_flag_count,eb_indicator,contamination_indicator,artifact_indicator,fp_screening_score,fp_risk
7006,10141900,K01082.04,Kepler-1 b,CANDIDATE,CANDIDATE,0.8,0,0,0,0,9.6550473,7.33e-05,-7.33e-05,137.07505,0.00692,-0.00692,0.124,0.33,-0.124,2.752,0.205,-0.205,313.1,27.4,-27.4,1.45,0.06,-0.11,705.0,58.36,9.81,-11.12,12.2,4.0,q1_q17_dr25_tce,4999.0,79.0,-79.0,4.49,0.075,-0.03,0.843,0.04,-0.06,292.14447,47.157349,15.692,0,0,0,0,0,0,0,0,0,0,0,0,0.7033333333333334,Medium,0,0,0,0,0,Low
1259,4770365,K01475.03,Kepler-1 b,CANDIDATE,CANDIDATE,0.987,0,0,0,0,4.72941177,3.075e-05,-3.075e-05,132.93871,0.00548,-0.00548,0.236,0.234,-0.236,2.234,0.156,-0.156,434.3,33.7,-33.7,1.22,0.05,-0.06,669.0,47.3,8.56,-7.89,14.6,3.0,q1_q17_dr25_tce,4224.0,84.0,-84.0,4.662,0.025,-0.02,0.603,0.027,-0.03,297.43039,39.847839,15.937,0,0,0,0,0,0,0,0,0,0,0,0,0.6866666666666666,Medium,0,0,0,0,0,Low
4829,3348216,K03448.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.982,0,0,0,0,32.510844,0.0002498,-0.0002498,136.62491,0.00636,-0.00636,0.421,0.036,-0.421,3.254,0.2,-0.2,361.9,32.8,-32.8,2.62,0.44,-0.39,680.0,50.56,22.15,-16.23,12.6,1.0,q1_q17_dr25_tce,6074.0,81.0,-90.0,4.244,0.125,-0.125,1.358,0.228,-0.205,292.96008,38.431431,14.863,0,0,0,0,0,0,0,0,0,0,0,0,0.6866666666666666,Medium,0,0,0,0,0,Low
3696,8264402,K04037.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.964,0,0,0,0,215.956008,0.003459,-0.003459,271.3671,0.0124,-0.0124,0.959,0.011,-0.672,10.425,0.484,-0.484,392.7,18.0,-18.0,3.36,0.58,-0.43,361.0,4.03,1.81,-1.13,23.3,1.0,q1_q17_dr25_tce,6163.0,73.0,-86.0,4.27,0.103,-0.126,1.313,0.23,-0.167,300.94568,44.164688,12.853,1,0,0,0,0,0,0,0,0,0,0,1,0.6833333333333333,Medium,0,0,0,1,1,Low
2863,6636320,K02989.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,6.33125228,3.802e-05,-3.802e-05,137.14149,0.00482,-0.00482,0.094,0.37,-0.094,2.688,0.15,-0.15,306.6,21.8,-21.8,1.31,0.23,-0.1,822.0,108.04,59.23,-26.06,16.2,1.0,q1_q17_dr25_tce,5383.0,159.0,-159.0,4.603,0.035,-0.112,0.759,0.132,-0.057,299.08099,42.018139,15.411,0,0,0,0,0,0,0,0,0,0,0,0,0.6766666666666666,Medium,0,0,0,0,0,Low
3977,8480582,K04386.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.967,0,0,0,0,18.5010898,0.0001557,-0.0001557,149.17569,0.00601,-0.00601,0.719,0.046,-0.512,3.179,0.17,-0.17,421.1,33.8,-33.8,1.62,0.24,-0.14,555.0,22.4,11.1,-5.48,14.7,1.0,q1_q17_dr25_tce,5242.0,158.0,-142.0,4.613,0.03,-0.09,0.734,0.112,-0.06,284.9725,44.567551,15.789,0,0,0,0,0,0,0,0,0,0,0,0,0.6733333333333333,Medium,0,0,0,0,0,Low
1998,6211812,K02638.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.97,0,0,0,0,2.524017517,6.547e-06,-6.547e-06,133.85946,0.00221,-0.00221,0.077,0.392,-0.077,1.1968,0.0723,-0.0723,303.0,19.2,-19.2,1.5,0.31,-0.17,1203.0,495.14,324.68,-148.57,19.8,1.0,q1_q17_dr25_tce,5420.0,177.0,-161.0,4.487,0.077,-0.143,0.871,0.18,-0.097,293.94116,41.5905,15.55,0,0,0,0,0,0,0,0,0,0,0,0,0.6733333333333333,Medium,0,0,0,0,0,Low
6421,8644911,K05553.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.994,0,0,0,0,120.938669,0.002468,-0.002468,246.252,0.0181,-0.0181,0.011,0.433,-0.011,8.818,0.358,-0.358,782.1,60.3,-60.3,2.32,0.45,-0.33,333.0,2.91,1.89,-1.06,15.0,1.0,q1_q17_dr25_tce,5456.0,207.0,-189.0,4.477,0.112,-0.138,0.843,0.163,-0.122,298.23279,44.756432,15.54,1,0,0,0,0,0,0,0,0,0,0,1,0.67,Medium,0,0,0,1,1,Low
7242,1432789,K00992.02,Kepler-1 b,CANDIDATE,CANDIDATE,0.961,0,0,0,0,4.57834367,6.382e-05,-6.382e-05,132.2982,0.0109,-0.0109,0.232,0.23,-0.232,3.987,0.289,-0.289,140.7,13.6,-13.6,1.44,0.23,-0.21,1206.0,499.41,210.4,-153.04,11.4,2.0,q1_q17_dr25_tce,5782.0,78.0,-78.0,4.28,0.137,-0.112,1.22,0.196,-0.176,291.49942,37.05928,15.214,0,0,0,0,0,0,0,0,0,0,0,0,0.67,Medium,0,0,0,0,0,Low
4204,7778621,K04725.01,Kepler-1 b,CANDIDATE,CANDIDATE,1.0,0,0,0,0,7.28171395,2.914e-05,-2.914e-05,137.30085,0.00321,-0.00321,0.956,0.005,-0.663,1.723,0.11,-0.11,111.6,9.3,-9.3,2.59,1.47,-1.46,1086.0,329.68,589.5,-273.7,14.4,1.0,q1_q17_dr25_tce,4970.0,164.0,-134.0,3.924,0.624,-0.336,1.806,1.02,-1.02,299.13779,43.498638,13.367,0,0,0,0,0,0,0,0,0,0,0,0,0.67,Medium,0,0,0,0,0,Low
1650,11074178,K01889.02,Kepler-1 b,CANDIDATE,CANDIDATE,0.976,0,0,0,0,9.18189122,6.36e-05,-6.36e-05,132.40505,0.00526,-0.00526,0.971,0.005,-0.678,4.343,0.239,-0.239,363.6,22.6,-22.6,2.17,0.61,-0.2,804.0,98.61,80.84,-25.96,18.2,2.0,q1_q17_dr25_tce,5741.0,155.0,-155.0,4.555,0.034,-0.195,0.846,0.236,-0.079,286.27386,48.61871,15.338,0,0,0,0,0,0,0,0,0,0,0,0,0.67,Medium,0,0,0,0,0,Low
4111,11769689,K04551.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.986,0,0,0,0,14.7179342,0.0002465,-0.0002465,135.6498,0.0103,-0.0103,0.704,0.253,-0.49,5.844,0.334,-0.334,132.3,11.8,-11.8,1.25,0.42,-0.14,784.0,89.3,89.92,-27.76,12.7,1.0,q1_q17_dr25_tce,6102.0,184.0,-202.0,4.449,0.056,-0.224,1.018,0.341,-0.114,295.09201,49.940079,14.654,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,Medium,0,0,0,0,0,Low
2533,4939533,K02899.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.985,0,0,0,0,5.77207177,4.134e-05,-4.134e-05,134.93042,0.00528,-0.00528,0.018,0.45,-0.018,2.605,0.209,-0.209,328.5,29.0,-29.0,1.54,0.31,-0.15,915.0,165.58,100.33,-44.84,13.2,1.0,q1_q17_dr25_tce,5591.0,149.0,-166.0,4.559,0.036,-0.153,0.86,0.174,-0.08,295.84747,40.006721,15.703,0,0,0,0,0,0,0,0,0,0,0,0,0.6533333333333333,Medium,0,0,0,0,0,Low
4280,6527078,K04657.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.521,0,0,0,0,7.57600886,8.526e-05,-8.526e-05,135.6293,0.011,-0.011,0.267,0.191,-0.267,3.361,0.207,-0.207,49.0,4.5,-4.5,0.54,0.09,-0.05,778.0,86.87,47.22,-23.34,12.5,1.0,q1_q17_dr25_tce,5361.0,159.0,-159.0,4.588,0.038,-0.113,0.774,0.133,-0.071,293.29279,41.997589,13.241,0,0,0,0,0,0,0,0,0,0,0,0,0.65,Medium,0,0,0,0,0,Low
2789,10252275,K03130.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.988,0,0,0,0,14.8638496,0.0001155,-0.0001155,142.95729,0.0062,-0.0062,1.006,0.075,-0.73,2.705,0.317,-0.317,220.6,21.3,-21.3,2.9,0.31,-0.32,620.0,35.04,13.49,-10.43,12.3,1.0,q1_q17_dr25_tce,5159.0,153.0,-153.0,4.508,0.093,-0.085,0.8,0.088,-0.088,280.70853,47.32806,13.752,0,0,0,0,0,0,0,0,0,0,0,0,0.65,Medium,0,0,0,0,0,Low
1999,11391755,K02639.01,Kepler-1 b,CANDIDATE,CANDIDATE,0.651,0,0,0,0,25.1123362,0.0003866,-0.0003866,146.3464,0.012,-0.012,0.007,0.434,-0.007,7.922,0.455,-0.455,398.8,36.5,-36.5,2.22,0.73,-0.31,691.0,53.73,52.23,-19.86,11.8,1.0,q1_q17_dr25_tce,6133.0,171.0,-236.0,4.367,0.105,-0.21,1.112,0.366,-0.157,285.36517,49.201561,15.527,0,0,0,0,0,0,0,0,0,0,0,0,0.65,Medium,0,0,0,0,0,Low
