kepid,kepoi_name,koi_disposition,koi_score,predicted_confirmed_probability,koi_prad,koi_depth,koi_period,koi_model_snr,outlier_flag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,catalog_fp_flag_count,eb_indicator,contamination_indicator,artifact_indicator,fp_screening_score,fp_risk,evidence
8197176,K05485.01,CANDIDATE,0.275,0.17,17.37,1527.0,9.3589254,8.9,1,0,0,0,0,0,1,0,1,5,High,Very large inferred radius; Prepared-data outlier; Low model SNR
7458743,K05393.01,CANDIDATE,0.334,0.0,18.92,704.0,248.421771,8.8,1,0,0,0,0,0,1,0,1,5,High,Very large inferred radius; Prepared-data outlier; Low model SNR
10809888,K05830.01,CANDIDATE,0.334,0.1,11.19,245.8,72.782432,8.5,1,0,0,0,0,0,1,0,1,5,High,Very large inferred radius; Prepared-data outlier; Low model SNR
10002261,K00959.01,CANDIDATE,0.729,0.6266666666666667,2.31,36719.0,12.713794177,2981.3,1,0,0,0,0,0,1,0,1,4,Medium,Very deep transit; Prepared-data outlier
9904059,K00145.01,CANDIDATE,1.0,0.04,39.0,1896.7,102.9641952,86.1,1,0,0,0,0,0,1,0,1,4,Medium,Very large inferred radius; Prepared-data outlier
8684730,K00319.01,CANDIDATE,0.998,0.7033333333333334,10.02,1817.3,46.15119482,286.0,1,0,0,0,0,0,1,0,1,4,Medium,Very large inferred radius; Prepared-data outlier
8765560,K03891.01,CANDIDATE,1.0,0.02,78.98,752.2,47.1096306,35.1,1,0,0,0,0,0,1,0,1,4,Medium,Very large inferred radius; Prepared-data outlier
9111849,K02042.01,CANDIDATE,0.994,0.1,17.8,671.3,63.0732241,30.0,1,0,0,0,0,0,1,0,1,4,Medium,Very large inferred radius; Prepared-data outlier
7440715,K05390.01,CANDIDATE,0.334,0.0866666666666666,5.13,652.2,104.198102,8.9,1,0,0,0,0,0,0,0,1,4,Medium,Large inferred radius; Prepared-data outlier; Low model SNR
4241238,K05048.01,CANDIDATE,0.334,0.0333333333333333,6.28,603.6,138.333748,8.4,1,0,0,0,0,0,0,0,1,4,Medium,Large inferred radius; Prepared-data outlier; Low model SNR
9635520,K07205.01,CANDIDATE,0.779,0.0433333333333333,39.82,576.6,2.3518268,24.5,1,0,0,0,0,0,1,0,1,4,Medium,Very large inferred radius; Prepared-data outlier
9481235,K05685.01,CANDIDATE,0.334,0.1666666666666666,17.96,376.1,14.0019064,11.6,1,0,0,0,0,0,1,0,1,4,Medium,Very large inferred radius; Prepared-data outlier
5394585,K05158.01,CANDIDATE,0.334,0.01,4.41,358.0,151.13008,4.6,1,0,0,0,0,0,0,0,1,4,Medium,Large inferred radius; Prepared-data outlier; Low model SNR
4750962,K05083.01,CANDIDATE,0.334,0.06,8.25,264.4,69.932459,8.4,1,0,0,0,0,0,0,0,1,4,Medium,Large inferred radius; Prepared-data outlier; Low model SNR
